"ScanDateTime","ScanDate","PrintIDName","Section","Page","ZoneNumber","Cyan","Magenta","Yellow","Black"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","4","0.491016","0.48182","0.530443","0.507427"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","5","0.488481","0.485503","0.526716","0.507665"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","6","0.476161","0.471616","0.52354","0.493058"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","7","0.476563","0.474262","0.527459","0.49532"
"2013-12-03 11:10:21","2012/12/09","Press 40 (Monday- Best Effort)","A","27","8","0.462391","0.463826","0.512825","0.483252"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","1","0.546559","0.518472","0.613797","0.554438"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","2","0.529331","0.514456","0.603336","0.544769"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","3","0.518482","0.509415","0.589079","0.535932"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","4","0.508859","0.500757","0.574297","0.525426"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","5","0.483199","0.497204","0.556025","0.512807"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","6","0.457683","0.483889","0.541151","0.49135"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","7","0.445295","0.481038","0.533566","0.484111"
"2013-12-03 11:10:35","2012/12/09","Press 40 (Monday- Best Effort)","A","28","8","0.454681","0.490785","0.545781","0.494423"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","1","0.473714","0.470227","0.528313","0.494199"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","2","0.480181","0.481036","0.538593","0.501399"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","3","0.471956","0.47292","0.527803","0.49224"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","4","0.470528","0.476052","0.523972","0.491665"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","5","0.474347","0.471887","0.516668","0.493313"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","6","0.475186","0.473791","0.507527","0.494499"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","7","0.482763","0.478501","0.508897","0.500626"
"2013-12-03 11:10:50","2012/12/09","Press 40 (Monday- Best Effort)","A","29","8","0.490029","0.488126","0.517105","0.511371"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","1","0.488807","0.42316","0.467423","0.471982"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","2","0.473449","0.419657","0.459873","0.462047"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","3","0.449222","0.403327","0.453642","0.440026"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","4","0.438435","0.403895","0.449466","0.435723"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","5","0.43819","0.411079","0.458446","0.441068"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","6","0.454531","0.427289","0.471033","0.457701"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","7","0.457869","0.437491","0.477772","0.465188"
"2013-12-03 11:11:45","2012/12/09","Press 40 (Monday- Best Effort)","A","34","8","0.472047","0.443996","0.481104","0.478789"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","1","0.511607","0.505471","0.54303","0.529525"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","2","0.509354","0.490764","0.525293","0.52268"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","3","0.507213","0.488236","0.52294","0.516921"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","4","0.510425","0.490737","0.530052","0.521548"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","5","0.520899","0.512305","0.557211","0.539151"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","6","0.516095","0.51697","0.557922","0.538642"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","7","0.518769","0.515739","0.561393","0.538558"
"2013-12-03 11:02:15","2012/12/09","Press 40 (Monday- Best Effort)","A","5","8","0.519787","0.519932","0.567336","0.541606"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","1","0.497091","0.483653","0.556518","0.511525"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","2","0.495767","0.489318","0.550877","0.512354"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","3","0.484325","0.476048","0.529904","0.500558"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","4","0.482116","0.476678","0.525803","0.499868"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","5","0.489545","0.4836","0.54899","0.506976"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","6","0.482246","0.476429","0.549709","0.499703"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","7","0.494081","0.490478","0.561906","0.513583"
"2013-12-03 11:02:35","2012/12/09","Press 40 (Monday- Best Effort)","A","6","8","0.49811","0.492986","0.561834","0.517723"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","1","0.482577","0.489204","0.54563","0.506581"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","1","0.54218","0.474175","0.480835","0.523777"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","1","0.594748","0.534966","0.53782","0.585351"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","2","0.600435","0.5419","0.54753","0.5912"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","2","0.554659","0.490053","0.487333","0.540802"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","2","0.488736","0.498829","0.538092","0.515712"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","3","0.492945","0.500364","0.540581","0.517316"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","3","0.585263","0.513412","0.504447","0.568446"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","3","0.6193","0.5589","0.568005","0.609944"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","4","0.62189","0.555169","0.570458","0.608936"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","4","0.612965","0.533494","0.51711","0.593461"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","4","0.493147","0.505372","0.539797","0.520895"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","5","0.494377","0.519913","0.552837","0.52837"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","5","0.631839","0.548147","0.529662","0.610666"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","5","0.616656","0.541211","0.568403","0.598907"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","6","0.608511","0.528853","0.560761","0.588619"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","6","0.641924","0.562428","0.538315","0.622056"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","6","0.496792","0.502126","0.542734","0.520645"
"2013-12-03 11:03:13","2012/12/09","Press 40 (Monday- Best Effort)","A","7","7","0.498593","0.508481","0.548079","0.525526"
"2013-12-03 12:18:48","2012/12/09","Press 40 (Monday- Best Effort)","B","7","7","0.648103","0.556032","0.529671","0.622606"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","7","0.607825","0.531508","0.541849","0.588509"
"2013-12-03 12:19:44","2012/12/09","Press 40 (Monday- Best Effort)","C","7","8","0.612581","0.532578","0.525065","0.592882"
